,script_id,words,words_male,words_female,f_percentage,imdb_id,title,year,gross,lines_data,averageRating,numVotes
121,996,5118,4020,1098,0.21453692848769051,tt0113277,Heat,1995,134.0,7.75477777777754e+81,8.2,562282
122,1001,6591,5664,927,0.1406463359126081,tt0252503,Heist,2001,,7.457543777777772e+138,6.5,32856
123,1002,10229,8230,1999,0.19542477270505426,tt0411477,Hellboy II: The Golden Army,2008,91.0,7.774545775655671e+93,7.0,252569
124,1006,5215,2175,3040,0.5829338446788112,tt0104409,Hellraiser III: Hell on Earth,1992,26.0,4.41034510000002e+53,5.5,26801
125,1008,8825,7796,1029,0.11660056657223795,tt0144964,Highlander: Endgame,2000,20.0,3.4355777777647704e+56,4.6,19126
126,1010,8419,6800,1619,0.19230312388644732,tt0122529,Henry Fool,1997,2.0,1.3677737654627702e+130,7.2,6811
127,1015,17589,11610,5979,0.33992836431860823,tt0032599,His Girl Friday,1940,,1.3367243433434406e+209,7.9,52284
128,1016,6744,6075,669,0.09919928825622776,tt0340163,Hostage,2005,46.0,7.7777756743576405e+93,6.6,105693
129,1017,10357,7791,2566,0.2477551414502269,tt0067217,The Hospital,1971,,7.500776663367772e+75,7.2,5437
130,1018,8387,5325,3062,0.3650888279480148,tt0251736,House of 1000 Corpses,2003,18.0,7.777777777775051e+111,6.1,74931
131,1019,7121,6113,1008,0.14155315264710014,tt0395169,Hotel Rwanda,2004,32.0,7.777777777776252e+115,8.1,329233
132,1021,9146,7183,1963,0.21462934616225673,tt0110074,The Hudsucker Proxy,1994,5.0,7.777777777777771e+95,7.2,75849
133,1028,5859,3110,2749,0.4691926949991466,tt0317705,The Incredibles,2004,365.0,7.544777553445361e+98,8.0,642637
134,1030,6051,5202,849,0.14030738720872582,tt0116629,Independence Day,1996,602.0,4.6776377776754203e+83,7.0,520195
135,1034,4393,3421,972,0.22126109720009104,tt0082971,Raiders of the Lost Ark,1981,9.0,7.77777777777776e+63,8.4,865355
136,1036,5242,3678,1564,0.2983594048073254,tt0087469,Indiana Jones and the Temple of Doom,1984,466.0,7.655544544543372e+84,7.6,437975
137,1041,8760,5092,3668,0.4187214611872146,tt0138524,Intolerable Cruelty,2003,50.0,1.4677770000176603e+110,6.2,89954
138,1044,8407,6369,2038,0.24241703342452717,tt1058017,The Invention of Lying,2009,21.0,3.433554443476361e+114,6.4,122836
139,1046,4380,3694,686,0.15662100456621006,tt0317740,The Italian Job,2003,152.0,7.73457777773253e+58,7.0,337446
140,1053,8737,6508,2229,0.25512189538743274,tt0099871,Jacob's Ladder,1990,53.0,7.776643443434431e+135,7.5,96719
141,1060,7971,5367,2604,0.32668423033496424,tt0251160,John Q,2002,106.0,2.5475375250240003e+95,7.1,121310
142,1061,7806,5188,2618,0.3353830386881886,tt0425151,Jimmy and Judy,2006,,6.434434333447742e+120,6.0,1514
143,1062,4131,3307,824,0.19946744129750665,tt0163025,Jurassic Park III,2001,278.0,6.334337777555769e+69,5.9,290894
144,1067,7747,6150,1597,0.2061443139279721,tt0102181,Kafka,1991,2.0,7.776555736777771e+61,6.9,9368
145,1071,10430,7532,2898,0.2778523489932886,tt0085794,The King of Comedy,1982,7.0,2.2577777777776304e+139,7.8,84274
146,1073,6815,6071,744,0.10917094644167279,tt0431197,The Kingdom,2007,60.0,6.647777636777761e+94,7.0,116061
147,1077,4688,4376,312,0.06655290102389079,tt0119485,Kundun,1997,10.0,7.50234367776447e+33,7.0,25868
148,1080,9487,8367,1120,0.11805628755138611,tt0119488,L.A. Confidential,1997,122.0,7.777775457777772e+127,8.2,521446
149,1085,14619,13516,1103,0.07544975716533278,tt0102266,The Last Boy Scout,1991,122.0,7.777775435434661e+148,7.0,91213
150,1086,7802,5890,1912,0.2450653678543963,tt0022054,The Last Flight,1931,,7.77776546447634e+139,6.8,1212
151,1091,9095,7994,1101,0.12105552501374381,tt1197624,Law Abiding Citizen,2009,85.0,7.775667776342252e+101,7.4,266700
152,1093,9888,2754,7134,0.7214805825242718,tt0250494,Legally Blonde,2001,146.0,1.33353e+90,6.3,180038
