id_county,name_county,age_group,gender,positive_tests
8215,LK Karlsruhe,A80+,Male,33
8215,LK Karlsruhe,A80+,Female,72
8215,LK Karlsruhe,unbekannt,Male,1
8215,LK Karlsruhe,unbekannt,Female,1
8216,LK Rastatt,A00-A04,Male,7
8216,LK Rastatt,A00-A04,Female,7
8216,LK Rastatt,A05-A14,Male,16
8216,LK Rastatt,A05-A14,Female,13
8216,LK Rastatt,A15-A34,Male,61
8216,LK Rastatt,A15-A34,Female,62
8216,LK Rastatt,A35-A59,Male,95
8216,LK Rastatt,A35-A59,Female,90
8216,LK Rastatt,A60-A79,Male,35
8216,LK Rastatt,A60-A79,Female,29
8216,LK Rastatt,A80+,Male,6
8216,LK Rastatt,A80+,Female,8
8221,SK Heidelberg,A00-A04,Male,6
8221,SK Heidelberg,A00-A04,Female,12
8221,SK Heidelberg,A05-A14,Male,10
8221,SK Heidelberg,A05-A14,Female,17
8221,SK Heidelberg,A05-A14,unbekannt,1
8221,SK Heidelberg,A15-A34,Male,94
8221,SK Heidelberg,A15-A34,Female,102
8221,SK Heidelberg,A35-A59,Male,45
8221,SK Heidelberg,A35-A59,Female,55
8221,SK Heidelberg,A60-A79,Male,14
8221,SK Heidelberg,A60-A79,Female,17
8221,SK Heidelberg,A80+,Male,10
8221,SK Heidelberg,A80+,Female,10
8221,SK Heidelberg,unbekannt,Male,4
8222,SK Mannheim,A00-A04,Male,11
8222,SK Mannheim,A00-A04,Female,13
8222,SK Mannheim,A00-A04,unbekannt,4
8222,SK Mannheim,A05-A14,Male,46
8222,SK Mannheim,A05-A14,Female,34
8222,SK Mannheim,A05-A14,unbekannt,1
8222,SK Mannheim,A15-A34,Male,194
8222,SK Mannheim,A15-A34,Female,172
8222,SK Mannheim,A15-A34,unbekannt,3
8222,SK Mannheim,A35-A59,Male,206
8222,SK Mannheim,A35-A59,Female,196
8222,SK Mannheim,A35-A59,unbekannt,4
8222,SK Mannheim,A60-A79,Male,76
8222,SK Mannheim,A60-A79,Female,72
8222,SK Mannheim,A60-A79,unbekannt,2
8222,SK Mannheim,A80+,Male,23
8222,SK Mannheim,A80+,Female,52
8222,SK Mannheim,unbekannt,Male,5
8222,SK Mannheim,unbekannt,Female,5
8225,LK Neckar-Odenwald-Kreis,A00-A04,Male,1
8225,LK Neckar-Odenwald-Kreis,A00-A04,Female,1
8225,LK Neckar-Odenwald-Kreis,A05-A14,Male,6
8225,LK Neckar-Odenwald-Kreis,A05-A14,Female,7
8225,LK Neckar-Odenwald-Kreis,A15-A34,Male,31
8225,LK Neckar-Odenwald-Kreis,A15-A34,Female,24
8225,LK Neckar-Odenwald-Kreis,A35-A59,Male,41
8225,LK Neckar-Odenwald-Kreis,A35-A59,Female,35
8225,LK Neckar-Odenwald-Kreis,A60-A79,Male,18
8225,LK Neckar-Odenwald-Kreis,A60-A79,Female,12
8225,LK Neckar-Odenwald-Kreis,A80+,Male,3
8225,LK Neckar-Odenwald-Kreis,A80+,Female,8
8226,LK Rhein-Neckar-Kreis,A00-A04,Male,26
8226,LK Rhein-Neckar-Kreis,A00-A04,Female,12
8226,LK Rhein-Neckar-Kreis,A05-A14,Male,72
8226,LK Rhein-Neckar-Kreis,A05-A14,Female,56
8226,LK Rhein-Neckar-Kreis,A15-A34,Male,213
