id_county,name_county,age_group,gender,positive_tests,population,total_population_county
8216,LK Rastatt,A00-A04,Male,7,4451,222324
8216,LK Rastatt,A00-A04,Female,7,4300,222324
8216,LK Rastatt,A05-A14,Male,16,11424,222324
8216,LK Rastatt,A05-A14,Female,13,10760,222324
8216,LK Rastatt,A15-A34,Male,61,24756,222324
8216,LK Rastatt,A15-A34,Female,62,23680,222324
8216,LK Rastatt,A35-A59,Male,95,42472,222324
8216,LK Rastatt,A35-A59,Female,90,42431,222324
8216,LK Rastatt,A60-A79,Male,35,21912,222324
8216,LK Rastatt,A60-A79,Female,29,24455,222324
8216,LK Rastatt,A80+,Male,6,3927,222324
8216,LK Rastatt,A80+,Female,8,7756,222324
8221,SK Heidelberg,A00-A04,Male,6,3303,146751
8221,SK Heidelberg,A00-A04,Female,12,3165,146751
8221,SK Heidelberg,A05-A14,Male,10,5489,146751
8221,SK Heidelberg,A05-A14,Female,17,5332,146751
8221,SK Heidelberg,A15-A34,Male,94,23829,146751
8221,SK Heidelberg,A15-A34,Female,102,27459,146751
8221,SK Heidelberg,A35-A59,Male,45,23546,146751
8221,SK Heidelberg,A35-A59,Female,55,23652,146751
8221,SK Heidelberg,A60-A79,Male,14,10993,146751
8221,SK Heidelberg,A60-A79,Female,17,13207,146751
8221,SK Heidelberg,A80+,Male,10,2105,146751
8221,SK Heidelberg,A80+,Female,10,4671,146751
8222,SK Mannheim,A00-A04,Male,11,6641,290117
8222,SK Mannheim,A00-A04,Female,13,6042,290117
8222,SK Mannheim,A05-A14,Male,46,12866,290117
8222,SK Mannheim,A05-A14,Female,34,11930,290117
8222,SK Mannheim,A15-A34,Male,194,38667,290117
8222,SK Mannheim,A15-A34,Female,172,40426,290117
8222,SK Mannheim,A35-A59,Male,206,51875,290117
8222,SK Mannheim,A35-A59,Female,196,49822,290117
8222,SK Mannheim,A60-A79,Male,76,26895,290117
8222,SK Mannheim,A60-A79,Female,72,30291,290117
8222,SK Mannheim,A80+,Male,23,4792,290117
8222,SK Mannheim,A80+,Female,52,9870,290117
8225,LK Neckar-Odenwald-Kreis,A00-A04,Male,1,2871,142810
8225,LK Neckar-Odenwald-Kreis,A00-A04,Female,1,2716,142810
8225,LK Neckar-Odenwald-Kreis,A05-A14,Male,6,7628,142810
8225,LK Neckar-Odenwald-Kreis,A05-A14,Female,7,7046,142810
8225,LK Neckar-Odenwald-Kreis,A15-A34,Male,31,16392,142810
8225,LK Neckar-Odenwald-Kreis,A15-A34,Female,24,15339,142810
8225,LK Neckar-Odenwald-Kreis,A35-A59,Male,41,27370,142810
8225,LK Neckar-Odenwald-Kreis,A35-A59,Female,35,26732,142810
8225,LK Neckar-Odenwald-Kreis,A60-A79,Male,18,14076,142810
8225,LK Neckar-Odenwald-Kreis,A60-A79,Female,12,15135,142810
8225,LK Neckar-Odenwald-Kreis,A80+,Male,3,2486,142810
8225,LK Neckar-Odenwald-Kreis,A80+,Female,8,5019,142810
8226,LK Rhein-Neckar-Kreis,A00-A04,Male,26,11217,524039
8226,LK Rhein-Neckar-Kreis,A00-A04,Female,12,10878,524039
8226,LK Rhein-Neckar-Kreis,A05-A14,Male,72,26393,524039
8226,LK Rhein-Neckar-Kreis,A05-A14,Female,56,24783,524039
8226,LK Rhein-Neckar-Kreis,A15-A34,Male,213,58111,524039
8226,LK Rhein-Neckar-Kreis,A15-A34,Female,178,57767,524039
8226,LK Rhein-Neckar-Kreis,A35-A59,Male,223,97851,524039
8226,LK Rhein-Neckar-Kreis,A35-A59,Female,261,100200,524039
8226,LK Rhein-Neckar-Kreis,A60-A79,Male,101,52310,524039
8226,LK Rhein-Neckar-Kreis,A60-A79,Female,84,58542,524039
8226,LK Rhein-Neckar-Kreis,A80+,Male,23,8839,524039
8226,LK Rhein-Neckar-Kreis,A80+,Female,43,17148,524039
8231,SK Pforzheim,A00-A04,Male,5,2753,114411
8231,SK Pforzheim,A00-A04,Female,4,2323,114411
8231,SK Pforzheim,A05-A14,Male,13,5696,114411
8231,SK Pforzheim,A05-A14,Female,9,5437,114411
8231,SK Pforzheim,A15-A34,Male,98,14272,114411
8231,SK Pforzheim,A15-A34,Female,70,13940,114411
8231,SK Pforzheim,A35-A59,Male,118,19598,114411
8231,SK Pforzheim,A35-A59,Female,116,19564,114411
8231,SK Pforzheim,A60-A79,Male,36,10592,114411
8231,SK Pforzheim,A60-A79,Female,43,13344,114411
8231,SK Pforzheim,A80+,Male,17,2179,114411
8231,SK Pforzheim,A80+,Female,40,4713,114411
8235,LK Calw,A00-A04,Male,1,3146,151049
8235,LK Calw,A00-A04,Female,7,3043,151049
8235,LK Calw,A05-A14,Male,11,8473,151049
8235,LK Calw,A05-A14,Female,14,8010,151049
8235,LK Calw,A15-A34,Male,68,17479,151049
8235,LK Calw,A15-A34,Female,66,16303,151049
8235,LK Calw,A35-A59,Male,69,28033,151049
8235,LK Calw,A35-A59,Female,79,28277,151049
8235,LK Calw,A60-A79,Male,24,14748,151049
8235,LK Calw,A60-A79,Female,26,16046,151049
8235,LK Calw,A80+,Male,19,2495,151049
8235,LK Calw,A80+,Female,20,4996,151049
8236,LK Enzkreis,A00-A04,Male,3,3980,191353
8236,LK Enzkreis,A00-A04,Female,4,3658,191353
8236,LK Enzkreis,A05-A14,Male,14,10517,191353
8236,LK Enzkreis,A05-A14,Female,12,9993,191353
8236,LK Enzkreis,A15-A34,Male,97,21443,191353
8236,LK Enzkreis,A15-A34,Female,97,20284,191353
8236,LK Enzkreis,A35-A59,Male,112,36126,191353
8236,LK Enzkreis,A35-A59,Female,132,36381,191353
8236,LK Enzkreis,A60-A79,Male,58,18730,191353
8236,LK Enzkreis,A60-A79,Female,56,20788,191353
8236,LK Enzkreis,A80+,Male,20,3128,191353
