id_county,age_group,gender,population,total_population_county
8226,A15-A34,Female,57767,524039
8226,A15-A34,Male,58111,524039
8226,A35-A59,Female,100200,524039
8226,A35-A59,Male,97851,524039
8226,A60-A79,Female,58542,524039
8226,A60-A79,Male,52310,524039
8226,A80+,Female,17148,524039
8226,A80+,Male,8839,524039
8231,A00-A04,Female,2323,114411
8231,A00-A04,Male,2753,114411
8231,A05-A14,Female,5437,114411
8231,A05-A14,Male,5696,114411
8231,A15-A34,Female,13940,114411
8231,A15-A34,Male,14272,114411
8231,A35-A59,Female,19564,114411
8231,A35-A59,Male,19598,114411
8231,A60-A79,Female,13344,114411
8231,A60-A79,Male,10592,114411
8231,A80+,Female,4713,114411
8231,A80+,Male,2179,114411
8235,A00-A04,Female,3043,151049
8235,A00-A04,Male,3146,151049
8235,A05-A14,Female,8010,151049
8235,A05-A14,Male,8473,151049
8235,A15-A34,Female,16303,151049
8235,A15-A34,Male,17479,151049
8235,A35-A59,Female,28277,151049
8235,A35-A59,Male,28033,151049
8235,A60-A79,Female,16046,151049
8235,A60-A79,Male,14748,151049
8235,A80+,Female,4996,151049
8235,A80+,Male,2495,151049
8236,A00-A04,Female,3658,191353
8236,A00-A04,Male,3980,191353
8236,A05-A14,Female,9993,191353
8236,A05-A14,Male,10517,191353
8236,A15-A34,Female,20284,191353
8236,A15-A34,Male,21443,191353
8236,A35-A59,Female,36381,191353
8236,A35-A59,Male,36126,191353
8236,A60-A79,Female,20788,191353
8236,A60-A79,Male,18730,191353
8236,A80+,Female,6325,191353
8236,A80+,Male,3128,191353
8237,A00-A04,Female,2320,115973
8237,A00-A04,Male,2513,115973
8237,A05-A14,Female,6036,115973
8237,A05-A14,Male,6443,115973
8237,A15-A34,Female,13095,115973
8237,A15-A34,Male,13697,115973
8237,A35-A59,Female,21548,115973
8237,A35-A59,Male,21614,115973
8237,A60-A79,Female,12121,115973
8237,A60-A79,Male,10766,115973
8237,A80+,Female,3945,115973
8237,A80+,Male,1875,115973
8311,A00-A04,Female,4966,209629
8311,A00-A04,Male,4883,209629
8311,A05-A14,Female,8871,209629
8311,A05-A14,Male,9267,209629
8311,A15-A34,Female,35792,209629
8311,A15-A34,Male,31637,209629
8311,A35-A59,Female,35263,209629
8311,A35-A59,Male,34720,209629
8311,A60-A79,Female,19016,209629
8311,A60-A79,Male,15029,209629
8311,A80+,Female,7016,209629
8311,A80+,Male,3169,209629
8315,A00-A04,Female,5249,247279
8315,A00-A04,Male,5579,247279
8315,A05-A14,Female,12402,247279
8315,A05-A14,Male,13403,247279
8315,A15-A34,Female,27078,247279
8315,A15-A34,Male,27179,247279
8315,A35-A59,Female,47293,247279
8315,A35-A59,Male,45118,247279
8315,A60-A79,Female,26883,247279
8315,A60-A79,Male,24314,247279
8315,A80+,Female,8296,247279
8315,A80+,Male,4485,247279
8316,A00-A04,Female,3268,156453
8316,A00-A04,Male,3509,156453
8316,A05-A14,Female,7992,156453
8316,A05-A14,Male,8539,156453
8316,A15-A34,Female,16933,156453
8316,A15-A34,Male,17619,156453
8316,A35-A59,Female,30037,156453
8316,A35-A59,Male,29683,156453
8316,A60-A79,Female,16546,156453
8316,A60-A79,Male,14770,156453
8316,A80+,Female,5036,156453
8316,A80+,Male,2521,156453
8317,A00-A04,Female,8811,410202
8317,A00-A04,Male,9043,410202
8317,A05-A14,Female,20489,410202
8317,A05-A14,Male,22137,410202
8317,A15-A34,Female,45816,410202
8317,A15-A34,Male,47663,410202
8317,A35-A59,Female,75984,410202
8317,A35-A59,Male,76993,410202
8317,A60-A79,Female,42811,410202
8317,A60-A79,Male,38253,410202
8317,A80+,Female,14983,410202
8317,A80+,Male,7219,410202
8325,A00-A04,Female,2819,136478
8325,A00-A04,Male,3076,136478
8325,A05-A14,Female,7239,136478
8325,A05-A14,Male,7452,136478
8325,A15-A34,Female,15049,136478
8325,A15-A34,Male,15779,136478
8325,A35-A59,Female,24578,136478
8325,A35-A59,Male,25217,136478
8325,A60-A79,Female,14823,136478
8325,A60-A79,Male,13344,136478
8325,A80+,Female,4752,136478
8325,A80+,Male,2350,136478
8326,A00-A04,Female,4204,203967
8326,A00-A04,Male,4236,203967
8326,A05-A14,Female,9818,203967
8326,A05-A14,Male,10324,203967
8326,A15-A34,Female,22751,203967
8326,A15-A34,Male,23973,203967
8326,A35-A59,Female,36746,203967
8326,A35-A59,Male,36253,203967
8326,A60-A79,Female,23250,203967
8326,A60-A79,Male,20743,203967
8326,A80+,Female,7630,203967
8326,A80+,Male,4039,203967
8327,A00-A04,Female,3001,132213
8327,A00-A04,Male,3051,132213
8327,A05-A14,Female,7007,132213
8327,A05-A14,Male,7528,132213
8327,A15-A34,Female,15319,132213
8327,A15-A34,Male,16041,132213
8327,A35-A59,Female,23564,132213
8327,A35-A59,Male,24089,132213
8327,A60-A79,Female,13604,132213
8327,A60-A79,Male,12339,132213
8327,A80+,Female,4340,132213
8327,A80+,Male,2330,132213
8335,A00-A04,Female,5531,266965
8335,A00-A04,Male,5715,266965
8335,A05-A14,Female,12892,266965
8335,A05-A14,Male,13167,266965
8335,A15-A34,Female,32529,266965
8335,A15-A34,Male,32073,266965
8335,A35-A59,Female,48833,266965
8335,A35-A59,Male,46861,266965
8335,A60-A79,Female,29164,266965
8335,A60-A79,Male,25899,266965
8335,A80+,Female,9543,266965
8335,A80+,Male,4758,266965
8336,A00-A04,Female,4692,219003
8336,A00-A04,Male,4804,219003
8336,A05-A14,Female,11223,219003
8336,A05-A14,Male,11616,219003
8336,A15-A34,Female,24485,219003
8336,A15-A34,Male,24776,219003
8336,A35-A59,Female,41747,219003
8336,A35-A59,Male,40897,219003
8336,A60-A79,Female,23206,219003
8336,A60-A79,Male,20667,219003
8336,A80+,Female,7100,219003
8336,A80+,Male,3790,219003
8337,A00-A04,Female,3510,163136
8337,A00-A04,Male,3758,163136
8337,A05-A14,Female,8510,163136
8337,A05-A14,Male,9080,163136
8337,A15-A34,Female,18071,163136
8337,A15-A34,Male,18552,163136
8337,A35-A59,Female,29980,163136
